mbrissette,10-sis-testing-001,Instructor
mpaquette,10-sis-testing-001,Instructor
aphillips,10-sis-testing-002,Instructor
bkoppelman,10-sis-testing-002,Instructor
nwilson,10-sis-testing-002,Instructor
cbuckley,10-sis-testing-022,Instructor
gjohnson,10-sis-testing-022,Instructor
klabelle,10-sis-testing-022,Instructor
coliveira,10-sis-testing-220,Organizer
mbrissette,10-sis-testing-220,Organizer
mpaquette,10-sis-testing-222,Organizer
dlarue,10-sis-testing-222,Organizer
nwilson,10-sis-testing-003,Student
aallen,10-sis-testing-001,Teaching Assistant
aaustin,10-sis-testing-001,Teaching Assistant
abass,10-sis-testing-001,Teaching Assistant
abelanger,10-sis-testing-001,Student
abishop,10-sis-testing-001,Student
aboyer,10-sis-testing-001,Student
abradley,10-sis-testing-001,Student
abrouillette,10-sis-testing-001,Student
aburns,10-sis-testing-001,Student
acaldwell,10-sis-testing-001,Student
aallen,10-sis-testing-002,Teaching Assistant
aaustin,10-sis-testing-002,Teaching Assistant
abass,10-sis-testing-002,Teaching Assistant
abelanger,10-sis-testing-002,Student
abishop,10-sis-testing-002,Student
aboyer,10-sis-testing-002,Student
abradley,10-sis-testing-002,Student
abrouillette,10-sis-testing-002,Student
aburns,10-sis-testing-002,Student
acaldwell,10-sis-testing-002,Student
