mbrissette,10-sis-testing-001,Instructor
mpaquette,10-sis-testing-001,Instructor
aphillips,10-sis-testing-002,Instructor
bkoppelman,10-sis-testing-002,Instructor
nwilson,10-sis-testing-002,Instructor
cbuckley,10-sis-testing-022,Instructor
gjohnson,10-sis-testing-022,Instructor
klabelle,10-sis-testing-022,Instructor
coliveira,10-sis-testing-220,Organizer
mbrissette,10-sis-testing-220,Organizer
mpaquette,10-sis-testing-222,Organizer
dlarue,10-sis-testing-222,Organizer
nwilson,10-sis-testing-003,Student
aallen,10-sis-testing-001,Teaching Assistant
aaustin,10-sis-testing-001,Teaching Assistant
abass,10-sis-testing-001,Teaching Assistant
abelanger,10-sis-testing-001,Student
abishop,10-sis-testing-001,Student
aboyer,10-sis-testing-001,Student
abradley,10-sis-testing-001,Student
abrouillette,10-sis-testing-001,Student
aburns,10-sis-testing-001,Student
acaldwell,10-sis-testing-001,Student
aallen,10-sis-testing-002,Teaching Assistant
aaustin,10-sis-testing-002,Teaching Assistant
abass,10-sis-testing-002,Teaching Assistant
abelanger,10-sis-testing-002,Student
abishop,10-sis-testing-002,Student
aboyer,10-sis-testing-002,Student
abradley,10-sis-testing-002,Student
abrouillette,10-sis-testing-002,Student
aburns,10-sis-testing-002,Student
acaldwell,10-sis-testing-002,Student
acard,10-sis-testing-002,Student
acarter,10-sis-testing-002,Student
aceroni,10-sis-testing-002,Student
achampagne,10-sis-testing-002,Student
adias,10-sis-testing-002,Student
adixon,10-sis-testing-002,Student
aevans,10-sis-testing-002,Student
afaiola,10-sis-testing-002,Student
afaria,10-sis-testing-002,Student
agaffney,10-sis-testing-002,Student
ahardy,10-sis-testing-002,Student
aharvey,10-sis-testing-002,Student
ahenderson,10-sis-testing-002,Student
ahernandez,10-sis-testing-002,Student
ahill,10-sis-testing-002,Student
ajohnson,10-sis-testing-002,Student
ajohnson2,10-sis-testing-002,Student
alima,10-sis-testing-002,Student
alopez,10-sis-testing-002,Student
amacedo,10-sis-testing-002,Student
amills,10-sis-testing-002,Student
amorales,10-sis-testing-002,Student
amorelli,10-sis-testing-002,Student
anonnenmacher,10-sis-testing-002,Student
aolson,10-sis-testing-002,Student
apaliotti,10-sis-testing-002,Student
apicard,10-sis-testing-002,Student
apowell,10-sis-testing-002,Student
aray,10-sis-testing-002,Student
arichardson,10-sis-testing-002,Student
arioles,10-sis-testing-002,Student
arobles,10-sis-testing-002,Student
arogers,10-sis-testing-002,Student
arussell,10-sis-testing-002,Student
asmith,10-sis-testing-002,Student
astanley,10-sis-testing-002,Student
astewart,10-sis-testing-002,Student
atitus,10-sis-testing-002,Student
averducci,10-sis-testing-002,Student
awahl,10-sis-testing-002,Student
awhitman,10-sis-testing-002,Student
barnold,10-sis-testing-002,Student
bbainter,10-sis-testing-002,Student
bball,10-sis-testing-002,Student
bbrooks,10-sis-testing-002,Student
bcraig,10-sis-testing-002,Student
